Date,Category,Amount,Description
2023-01-01,Gifts,137.3,Coffee at Steam
2023-01-01,Food,23.21,Taxi at Circle K
2023-01-01,Groceries,29.59,Pharmacy at Spotify
2023-01-01,Miscellaneous,72.92,Payment at SuperValu
2023-01-01,Travel,1178.59,Booking at Shell
2023-01-01,Education,55.37,Subscription at Steam
2023-01-01,Fitness,105.84,Taxi at Zara
2023-01-01,Subscriptions,19.88,Top-up at Lidl
2023-01-01,Healthcare,175.52,Taxi at IKEA
2023-01-01,Travel,284.66,Order at Dublin Bus
2023-01-01,Dining Out,24.3,Top-up at Electric Ireland
2023-01-01,Subscriptions,10.07,Fuel at Aldi
2023-01-01,Subscriptions,7.33,Booking at Starbucks
2023-01-01,Education,319.83,Pharmacy at Irish Water
2023-01-01,Shopping,291.5,Snacks at Shell
2023-01-01,Rent,2040.01,Fuel at Ryanair
2023-01-01,Insurance,350.64,Purchase at IKEA
2023-01-01,Education,333.24,Snacks at McDonald's
2023-01-01,Subscriptions,6.06,Lunch at Aer Lingus
2023-01-01,Travel,233.78,Taxi at Netflix
2023-01-01,Education,406.79,Groceries at Netflix
2023-01-01,Miscellaneous,165.94,Fuel at Circle K
2023-01-01,Insurance,211.45,Fuel at Irish Rail
2023-01-01,Healthcare,234.16,Lunch at Just Eat
2023-01-01,Entertainment,81.69,Pharmacy at Spotify
2023-01-01,Groceries,53.86,Shoes at IKEA
2023-01-01,Food,15.18,Dinner at Bolt
2023-01-01,Gifts,209.08,Groceries at Uber
2023-01-01,Travel,1160.4,Coffee at Tesco
2023-01-01,Healthcare,375.06,Booking at KFC
2023-01-01,Insurance,310.98,Booking at Dublin Bus
2023-01-01,Education,592.94,Lunch at Apple
2023-01-01,Insurance,158.72,Subscription at Just Eat
2023-01-01,Miscellaneous,88.0,Dinner at Lidl
2023-01-01,Healthcare,247.21,Shoes at Domino's
2023-01-01,Miscellaneous,105.45,Hardware at Specsavers
2023-01-01,Taxes,831.89,Gadgets at Irish Rail
2023-01-01,Gifts,80.21,Coffee at H&M
2023-01-01,Healthcare,20.18,Gadgets at SuperValu
2023-01-01,Gifts,31.86,Snacks at KFC
2023-01-01,Transport,9.64,Payment at Electric Ireland
2023-01-01,Education,26.44,Bill at Apple
2023-01-01,Transport,12.38,Ticket at SuperValu
2023-01-01,Groceries,72.09,Coffee at IKEA
2023-01-01,Gifts,181.02,Pharmacy at Just Eat
2023-01-02,Rent,1921.81,Workshop at Electric Ireland
2023-01-02,Transport,31.02,Fuel at Irish Rail
2023-01-02,Subscriptions,13.49,Ticket at Apple
2023-01-02,Dining Out,31.94,Dinner at Aldi
2023-01-02,Utilities,113.81,Membership at Google
2023-01-02,Dining Out,18.23,Payment at KFC
2023-01-02,Insurance,398.76,Purchase at Aldi
2023-01-02,Transport,15.95,Bill at Domino's
2023-01-02,Entertainment,23.1,Course Fee at Three
2023-01-02,Insurance,251.02,Bill at Eir
2023-01-02,Utilities,186.56,Shoes at SuperValu
2023-01-02,Miscellaneous,159.52,Dinner at McDonald's
2023-01-02,Rent,1158.31,Top-up at Boots
2023-01-02,Taxes,163.0,Bill at IKEA
2023-01-02,Healthcare,208.53,Bill at Just Eat
2023-01-02,Miscellaneous,99.56,Ticket at Gym+Coffee
2023-01-02,Dining Out,32.43,Dinner at Shell
2023-01-02,Rent,636.49,Renewal at Netflix
2023-01-02,Food,15.81,Shoes at Bolt
2023-01-02,Travel,1169.28,Top-up at IKEA
2023-01-02,Healthcare,93.26,Ticket at Gym+Coffee
2023-01-02,Rent,1631.14,Subscription at Uber
2023-01-02,Groceries,41.97,Coffee at SSE Airtricity
2023-01-02,Transport,4.59,Payment at Just Eat
2023-01-02,Food,9.65,Payment at Subway
2023-01-02,Healthcare,69.72,Workshop at Uber
2023-01-02,Miscellaneous,17.48,Subscription at Electric Ireland
2023-01-02,Gifts,56.97,Gadgets at Ryanair
2023-01-02,Fitness,102.07,Booking at Amazon
2023-01-02,Taxes,604.8,Groceries at SuperValu
2023-01-02,Subscriptions,9.74,Payment at Domino's
2023-01-02,Miscellaneous,59.22,Shoes at Domino's
2023-01-02,Healthcare,126.91,Transfer at IKEA
2023-01-02,Insurance,62.87,Workshop at Bolt
2023-01-02,Subscriptions,17.17,Fuel at Aer Lingus
2023-01-02,Utilities,180.23,Dinner at Lidl
2023-01-02,Utilities,129.56,Membership at Aer Lingus
2023-01-02,Rent,655.38,Snacks at Dublin Bus
2023-01-02,Healthcare,267.0,Bill at Bolt
2023-01-02,Transport,7.58,Renewal at Ryanair
2023-01-02,Shopping,163.55,Dinner at Vodafone
2023-01-02,Transport,11.12,Pharmacy at Vodafone
2023-01-02,Utilities,167.81,Clothes at Netflix
2023-01-02,Utilities,54.88,Ticket at Steam
2023-01-02,Rent,861.77,Shoes at Dublin Bus
2023-01-02,Dining Out,41.96,Lunch at Electric Ireland
2023-01-02,Travel,761.62,Top-up at Eir
2023-01-02,Shopping,260.53,Purchase at Irish Water
2023-01-02,Fitness,38.32,Purchase at Shell
2023-01-02,Dining Out,35.72,Gadgets at Starbucks
2023-01-02,Subscriptions,11.37,Booking at Gym+Coffee
2023-01-02,Food,9.82,Hardware at Just Eat
2023-01-02,Shopping,105.2,Subscription at Gym+Coffee
2023-01-02,Dining Out,34.94,Hardware at Spotify
2023-01-02,Subscriptions,9.54,Shoes at Three
2023-01-02,Transport,9.83,Dinner at Spotify
2023-01-02,Taxes,1820.75,Subscription at Ryanair
2023-01-03,Subscriptions,6.87,Fuel at Uber
2023-01-03,Healthcare,222.44,Groceries at Vodafone
2023-01-03,Fitness,52.68,Workshop at H&M
2023-01-03,Travel,1151.47,Top-up at Aer Lingus
2023-01-03,Healthcare,370.11,Coffee at Lidl
2023-01-03,Education,101.67,Payment at McDonald's
2023-01-03,Subscriptions,16.33,Membership at Netflix
2023-01-03,Dining Out,57.72,Workshop at Gym+Coffee
2023-01-03,Food,20.37,Taxi at Eir
2023-01-03,Utilities,72.77,Gadgets at Airbnb
2023-01-03,Groceries,63.91,Shoes at Shell
2023-01-03,Taxes,1746.56,Shoes at SSE Airtricity
2023-01-03,Shopping,167.57,Ticket at Boots
2023-01-03,Groceries,120.31,Top-up at Apple
2023-01-03,Education,286.45,Fuel at Zara
2023-01-03,Subscriptions,15.35,Top-up at SuperValu
2023-01-03,Groceries,60.06,Course Fee at Aldi
2023-01-03,Dining Out,9.52,Renewal at Starbucks
2023-01-03,Fitness,81.77,Transfer at Airbnb
2023-01-03,Fitness,71.78,Bill at McDonald's
2023-01-03,Rent,1417.65,Transfer at Specsavers
2023-01-03,Fitness,113.65,Dinner at Dublin Bus
2023-01-03,Healthcare,391.89,Course Fee at Google
2023-01-03,Travel,74.18,Taxi at Subway
2023-01-03,Subscriptions,15.24,Order at Eir
2023-01-03,Groceries,24.94,Payment at Three
2023-01-03,Miscellaneous,26.11,Clothes at IKEA
2023-01-03,Dining Out,23.98,Bill at IKEA
2023-01-03,Education,559.64,Booking at Airbnb
2023-01-03,Dining Out,32.63,Gadgets at Aldi
2023-01-03,Education,433.13,Dinner at Uber
2023-01-03,Transport,10.52,Groceries at Gym+Coffee
2023-01-03,Miscellaneous,130.82,Bill at SuperValu
2023-01-03,Education,578.02,Lunch at SuperValu
2023-01-03,Subscriptions,12.89,Coffee at Aldi
2023-01-03,Insurance,357.58,Purchase at Electric Ireland
2023-01-03,Utilities,197.35,Course Fee at Shell
2023-01-03,Transport,10.88,Fuel at Subway
2023-01-03,Utilities,128.77,Pharmacy at Google
2023-01-03,Transport,9.81,Purchase at SSE Airtricity
2023-01-04,Food,9.5,Fuel at Aer Lingus
2023-01-04,Education,563.58,Workshop at H&M
2023-01-04,Rent,1275.45,Top-up at Spotify
2023-01-04,Food,19.98,Hardware at Circle K
2023-01-04,Shopping,344.19,Ticket at Irish Water
2023-01-04,Education,560.03,Gadgets at Gym+Coffee
2023-01-04,Insurance,307.21,Gadgets at Eir
2023-01-04,Entertainment,61.26,Snacks at Circle K
2023-01-04,Gifts,102.34,Order at SuperValu
2023-01-04,Education,380.94,Booking at Eir
2023-01-04,Education,141.54,Hardware at Gym+Coffee
2023-01-04,Transport,8.76,Gadgets at IKEA
2023-01-04,Miscellaneous,168.18,Order at Dublin Bus
2023-01-04,Subscriptions,19.14,Order at Shell
2023-01-04,Dining Out,20.32,Hardware at SuperValu
2023-01-04,Transport,9.89,Booking at Steam
2023-01-04,Gifts,202.97,Snacks at Irish Water
2023-01-04,Food,12.81,Purchase at Tesco
